"product_id";"availability";"product_name";"product_rate";"product_shop";"product_url"
3;"";"Tea";10.0;"SPN Chats";"https://res.cloudinary.com/dnq6fx1oj/image/upload/v1685694635/cup-tea-milk-white-background-150039384_vem9pj.jpg"
5;"";"Dairy Milk";40.0;"Aroma";"https://m.media-amazon.com/images/I/61VNtSQCi8L.jpg"
6;"";"Mojito";40.0;"Broken Eggs";"https://us.123rf.com/450wm/serezniy/serezniy2106/serezniy210611112/170882398-glass-of-tasty-blue-mojito-cocktail-on-white-background.jpg?ver=6"
7;"";"Chicken Biriyani";70.0;"Cravy's House";"https://res.cloudinary.com/dnq6fx1oj/image/upload/v1686498156/bowl-food-with-piece-meat-vegetables-it_867452-673_rmlmw4.jpg"
8;"";"onion samosa";9.0;"Aroma";"https://res.cloudinary.com/dnq6fx1oj/image/upload/v1686582261/34239247-spicy-lamb-and-vegetable-samosas-isolated-on-a-white-background_bb2tus.jpg"
9;"";"Chicken Sandwich";50.0;"Broken Eggs";"https://media.istockphoto.com/id/1221237754/photo/two-halves-of-club-sandwich-on-white.jpg?s=612x612&w=0&k=20&c=jTThChWPJoFPxOdW1F4I-UzDqzS97iIgTm4-JJe-gOQ="
11;"";"Thaen Mittai";2.0;"Thatha Kadai";"https://m.media-amazon.com/images/I/61uojPl+G+S._AC_UF1000,1000_QL80_.jpg"
13;"";"Casatta";45.0;"SPN Chats";"https://mydukaan-prod-new.s3.amazonaws.com/123951/57d4e308-ef40-4639-abf1-1bc4fede246f.png"
15;"";"Schezwan Noodles";90.0;"Cravy's House";"https://victoriajunction.in/uploads/products/veg-noodles_1592770799.jpeg"
16;"";"Cauliflower Chilli";30.0;"SPN Chats";"https://previews.123rf.com/images/kravtzov/kravtzov1909/kravtzov190900056/130336624-gobi-manchurian-isolated-on-white-background-gobi-manchurian-is-indian-chinese-cuisine-dish-with.jpg"
20;"";"Pepsi";40.0;"Aroma";"https://www.nicepng.com/png/detail/75-757309_pepsi-can-lata-pepsi-png.png"
